Timestamp,Sensor 1,Sensor 2,Sensor 3,Sensor 4,Sensor 5,Direction
1712178544.7468748,-192.87109375,-518.5546875,-292.96875,-169.43359375,0.0,none
1712178544.7507694,-223.6328125,-691.40625,-287.59765625,-177.24609375,0.0,none
1712178544.754664,-225.09765625,-897.4609375,-462.890625,-165.0390625,0.0,none
1712178544.7585585,-220.21484375,-756.8359375,-471.6796875,-167.96875,0.0,none
1712178544.7624533,-245.60546875,-419.43359375,-235.83984375,-216.796875,0.0,none
1712178544.766348,-247.55859375,-418.9453125,-260.7421875,-209.9609375,0.0,none
1712178544.7702425,-249.51171875,-384.765625,-201.66015625,-189.94140625,0.0,none
1712178544.7742612,-249.0234375,-274.90234375,-110.3515625,-188.4765625,0.0,none
1712178544.7781558,-231.4453125,-119.62890625,-110.83984375,-194.82421875,0.0,none
1712178544.7820504,-214.84375,-284.66796875,-244.62890625,-184.5703125,0.0,none
1712178544.785945,-216.796875,-471.6796875,-246.58203125,-159.66796875,0.0,none
1712178544.7898397,-221.19140625,-271.484375,-143.5546875,-154.78515625,0.0,none
1712178544.7937343,-199.70703125,-431.640625,-259.765625,-156.73828125,0.0,none
1712178544.7976289,-181.640625,-866.69921875,-402.83203125,-153.80859375,0.0,up
1712178544.8015234,-185.05859375,-903.3203125,-376.46484375,-129.39453125,0.0,up
1712178544.805418,-208.49609375,-430.17578125,-134.27734375,-142.08984375,0.0,up
1712178544.8093126,-210.44921875,31.25,-53.22265625,-168.45703125,0.0,up
1712178544.8132071,-181.640625,-361.81640625,-310.05859375,-145.01953125,0.0,up
1712178544.8171017,-177.734375,-554.6875,-321.2890625,-120.60546875,0.0,up
1712178544.8211105,-188.4765625,-359.375,-154.296875,-121.09375,0.0,up
1712178544.825005,-186.5234375,-199.21875,-108.88671875,-136.23046875,0.0,up
1712178544.8288999,-169.921875,-371.58203125,-245.1171875,-140.13671875,0.0,up
1712178544.8327944,-171.38671875,-538.0859375,-261.71875,-138.671875,0.0,up
1712178544.836689,-186.5234375,-52.24609375,-78.61328125,-134.27734375,0.0,up
1712178544.8405836,-182.6171875,-229.4921875,-150.390625,-128.41796875,0.0,up
1712178544.8444781,-147.94921875,-817.3828125,-481.93359375,-117.67578125,0.0,up
1712178544.848373,-145.01953125,-868.65234375,-518.06640625,-117.67578125,0.0,up
1712178544.8522675,-189.94140625,-167.48046875,-58.10546875,-145.99609375,0.0,up
1712178544.856162,-181.640625,71.2890625,-62.01171875,-131.8359375,0.0,up
1712178544.8600566,-167.48046875,-365.234375,-251.953125,-128.41796875,0.0,up
1712178544.8639514,-163.0859375,-379.39453125,-221.19140625,-129.8828125,0.0,up
1712178544.8679507,-165.0390625,-6.34765625,-88.37890625,-112.79296875,0.0,up
1712178544.8718452,-158.203125,-64.94140625,-136.23046875,-105.46875,0.0,up
1712178544.87574,-143.5546875,-512.20703125,-333.0078125,-110.83984375,0.0,up
1712178544.8796346,-144.04296875,-634.27734375,-302.24609375,-127.9296875,0.0,up
1712178544.8835292,-152.34375,-343.75,-193.84765625,-128.90625,0.0,up
1712178544.887424,-147.4609375,-515.625,-317.87109375,-109.86328125,0.0,up
1712178544.8913186,-125.9765625,-894.53125,-413.57421875,-88.37890625,0.0,up
1712178544.8952131,-134.27734375,-614.74609375,-284.66796875,-114.74609375,0.0,up
1712178544.8991077,-151.85546875,-187.5,-174.31640625,-135.7421875,0.0,up
1712178544.9030025,-146.484375,-277.83203125,-242.67578125,-104.4921875,0.0,up
1712178544.906897,-134.27734375,-565.91796875,-367.67578125,-93.75,0.0,up
1712178544.9107916,-132.32421875,-495.1171875,-319.82421875,-117.1875,0.0,up
1712178544.914777,-133.7890625,-238.28125,-166.015625,-125.0,0.0,up
1712178544.9186718,-132.32421875,-428.7109375,-265.13671875,-101.5625,0.0,up
1712178544.9225664,-143.5546875,-530.76171875,-291.015625,-96.6796875,0.0,up
1712178544.926461,-147.4609375,-123.53515625,-129.8828125,-125.48828125,0.0,up
1712178544.9303558,-133.7890625,-240.72265625,-255.37109375,-127.9296875,0.0,up
1712178544.9342504,-118.1640625,-765.13671875,-478.02734375,-79.1015625,0.0,up
1712178544.938145,-133.30078125,-903.3203125,-463.37890625,-83.984375,0.0,up
1712178544.9420397,-154.78515625,-662.109375,-266.6015625,-124.0234375,0.0,up
1712178544.9459343,-142.08984375,-710.44921875,-336.9140625,-129.39453125,0.0,up
1712178544.9498289,-141.11328125,-860.83984375,-388.671875,-109.86328125,0.0,up
1712178544.9537237,-159.1796875,-494.140625,-189.453125,-104.98046875,0.0,up
1712178544.9576182,-160.64453125,-2.9296875,-34.66796875,-124.51171875,0.0,up
1712178544.96168,-141.6015625,-152.83203125,-221.19140625,-131.34765625,0.0,up
1712178544.9655747,-141.11328125,-505.859375,-334.9609375,-128.41796875,0.0,up
1712178544.9694693,-158.203125,-335.9375,-131.34765625,-127.9296875,0.0,up
1712178544.973364,-157.71484375,-92.28515625,-99.609375,-128.41796875,0.0,up
1712178544.9772587,-141.6015625,-273.92578125,-249.0234375,-131.34765625,0.0,up
1712178544.9811532,-126.46484375,-787.59765625,-381.34765625,-122.0703125,0.0,up
1712178544.985048,-147.94921875,-683.59375,-243.65234375,-125.48828125,0.0,up
1712178544.9889426,-163.0859375,-157.71484375,-57.6171875,-133.7890625,0.0,up
1712178544.9928374,-141.6015625,-415.52734375,-264.6484375,-123.046875,0.0,up
1712178544.996732,-125.48828125,-909.1796875,-502.9296875,-119.62890625,0.0,none
1712178545.0006268,-150.390625,-499.0234375,-219.23828125,-128.90625,0.0,none
1712178545.0045214,-167.96875,14.16015625,-23.92578125,-120.1171875,0.0,none
1712178545.0085728,-148.92578125,-394.04296875,-282.71484375,-102.5390625,0.0,none
1712178545.0124674,-135.25390625,-727.05078125,-399.90234375,-111.81640625,0.0,none
1712178545.0163622,-146.97265625,-326.171875,-187.01171875,-122.55859375,0.0,none
1712178545.020257,-162.109375,-74.70703125,-119.140625,-118.65234375,0.0,none
1712178545.0241516,-151.85546875,-465.33203125,-241.69921875,-105.95703125,0.0,none
1712178545.0280464,-132.32421875,-984.86328125,-402.83203125,-114.2578125,0.0,none
1712178545.031941,-141.6015625,-878.90625,-368.65234375,-126.46484375,0.0,none
1712178545.0358357,-154.296875,-690.91796875,-250.9765625,-111.328125,0.0,none
1712178545.0397303,-129.39453125,-842.28515625,-460.9375,-83.984375,0.0,none
1712178545.043625,-126.953125,-849.609375,-543.45703125,-101.07421875,0.0,none
1712178545.0475197,-154.78515625,-368.65234375,-177.24609375,-147.94921875,0.0,none
1712178545.0514145,-154.78515625,-352.05078125,-219.23828125,-121.09375,0.0,none
1712178545.0554616,-158.69140625,-507.8125,-250.48828125,-105.95703125,0.0,none
1712178545.0593565,-158.203125,-264.16015625,-144.04296875,-131.34765625,0.0,none
1712178545.063251,-156.73828125,-153.80859375,-201.171875,-149.4140625,0.0,none
1712178545.0671458,-157.71484375,-280.2734375,-198.2421875,-129.8828125,0.0,none
1712178545.0710406,-165.52734375,-478.515625,-253.41796875,-115.72265625,0.0,none
1712178545.0749352,-167.48046875,-741.2109375,-368.1640625,-126.953125,0.0,none
1712178545.07883,-163.57421875,-718.75,-305.17578125,-145.01953125,0.0,none
1712178545.0827248,-154.296875,-485.83984375,-280.76171875,-127.9296875,0.0,none
1712178545.0866194,-139.6484375,-763.671875,-384.27734375,-81.54296875,0.0,none
1712178545.0905142,-161.62109375,-516.11328125,-199.21875,-103.02734375,0.0,none
1712178545.094409,-168.45703125,-84.47265625,-155.2734375,-129.8828125,0.0,none
1712178545.0983036,-149.4140625,-434.5703125,-315.91796875,-105.95703125,0.0,none
1712178545.1023364,-155.76171875,-567.3828125,-285.15625,-89.35546875,0.0,none
1712178545.1062312,-169.921875,-81.0546875,-46.38671875,-94.7265625,0.0,none
1712178545.1101258,-143.06640625,-381.34765625,-243.1640625,-94.7265625,0.0,none
1712178545.1140206,-118.1640625,-905.2734375,-404.78515625,-91.30859375,0.0,none
1712178545.1179154,-142.08984375,-613.28125,-258.7890625,-90.8203125,0.0,none
1712178545.1218102,-147.4609375,-557.12890625,-306.15234375,-84.9609375,0.0,none
1712178545.125705,-133.7890625,-809.08203125,-290.0390625,-89.35546875,0.0,none
1712178545.1295996,-111.328125,-966.796875,-506.34765625,-83.49609375,0.0,none
1712178545.1334944,-123.046875,-798.828125,-535.64453125,-79.58984375,0.0,none
1712178545.1373892,-162.109375,-231.4453125,-109.375,-99.12109375,0.0,none
1712178545.141284,-147.4609375,-148.4375,-184.5703125,-92.7734375,0.0,none
1712178545.1451786,-130.37109375,-613.28125,-351.07421875,-95.703125,0.0,none
1712178545.1492012,-151.3671875,-581.54296875,-255.859375,-113.28125,0.0,none
1712178545.1530957,-165.52734375,-148.92578125,-133.30078125,-111.328125,0.0,none
1712178545.1569905,-150.87890625,-217.28515625,-202.1484375,-93.75,0.0,none
1712178545.1608853,-131.34765625,-564.94140625,-311.5234375,-107.421875,0.0,none
1712178545.1647801,-130.859375,-478.515625,-250.0,-121.09375,0.0,none
1712178545.168675,-136.71875,-509.765625,-279.78515625,-101.5625,0.0,none
1712178545.1725698,-135.7421875,-769.53125,-326.171875,-93.75,0.0,none
1712178545.1764643,-122.55859375,-875.9765625,-425.29296875,-97.65625,0.0,none
1712178545.1803591,-126.953125,-614.74609375,-301.7578125,-121.58203125,0.0,none
1712178545.184254,-128.41796875,-165.52734375,-121.58203125,-114.2578125,0.0,none
1712178545.1881487,-112.79296875,-312.01171875,-235.83984375,-81.54296875,0.0,none
1712178545.1920435,-101.5625,-628.41796875,-361.328125,-92.28515625,0.0,none
1712178545.196056,-97.16796875,-437.01171875,-265.625,-118.1640625,0.0,none
1712178545.1999507,-98.6328125,-199.70703125,-187.98828125,-97.16796875,0.0,none
1712178545.2038453,-109.375,-476.5625,-267.578125,-73.2421875,0.0,none
1712178545.20774,-119.62890625,-575.68359375,-286.1328125,-93.26171875,0.0,none
1712178545.2116349,-104.98046875,-348.14453125,-260.7421875,-106.93359375,0.0,none
