timestamps,words,terms,TP9,AF7,AF8,TP10,Right AUX,Marker
1713993501.6141906,1,HELLO,-1000.0,-1000.0,-733.88671875,-663.57421875,0.0,0
1713993501.6180534,1,HELLO,354.4921875,141.6015625,-400.390625,-1000.0,0.0,0
1713993501.621916,1,HELLO,935.546875,999.51171875,-33.203125,157.71484375,0.0,0
1713993501.625779,1,HELLO,-597.16796875,-417.48046875,-492.1875,999.51171875,0.0,0
1713993501.6296415,1,HELLO,-1000.0,-1000.0,-726.5625,44.921875,0.0,0
1713993501.6335044,1,HELLO,-196.77734375,-208.49609375,-593.26171875,-1000.0,0.0,0
1713993501.637367,1,HELLO,999.51171875,999.51171875,-294.43359375,-245.60546875,0.0,0
1713993501.641932,1,HELLO,30.76171875,164.55078125,-449.70703125,999.51171875,0.0,0
1713993501.6457953,1,HELLO,-1000.0,-1000.0,-679.6875,239.2578125,0.0,0
1713993501.6496584,1,HELLO,-232.421875,-411.1328125,-651.3671875,-1000.0,0.0,0
1713993501.6535215,1,HELLO,999.51171875,999.51171875,-364.74609375,-404.78515625,0.0,0
1713993501.6573846,1,HELLO,242.1875,252.9296875,-391.11328125,999.51171875,0.0,0
1713993501.661248,1,HELLO,-1000.0,-1000.0,-613.76953125,560.546875,0.0,0
1713993501.665111,1,HELLO,-680.17578125,-906.73828125,-636.23046875,-1000.0,0.0,0
1713993501.6689742,1,HELLO,979.00390625,678.7109375,-354.98046875,-944.3359375,0.0,0
1713993501.6728373,1,HELLO,535.64453125,675.29296875,-353.515625,585.44921875,0.0,0
1713993501.6767004,1,HELLO,-976.07421875,-891.11328125,-607.91015625,999.51171875,0.0,0
1713993501.6805637,1,HELLO,-1000.0,-1000.0,-706.0546875,-395.5078125,0.0,0
1713993501.6844268,1,HELLO,171.875,6.34765625,-568.84765625,-1000.0,0.0,0
1713993501.688676,1,HELLO,999.51171875,999.51171875,-279.78515625,-56.640625,0.0,0
1713993501.6925395,1,HELLO,-395.01953125,-209.9609375,-448.2421875,999.51171875,0.0,0
1713993501.6964028,1,HELLO,-1000.0,-1000.0,-667.48046875,74.21875,0.0,0
1713993501.7002664,1,HELLO,-206.54296875,-217.28515625,-657.71484375,-1000.0,0.0,0
1713993501.7041297,1,HELLO,999.51171875,999.51171875,-302.24609375,-282.71484375,0.0,0
1713993501.707993,1,HELLO,140.13671875,229.00390625,-347.16796875,999.51171875,0.0,0
1713993501.7118564,1,HELLO,-1000.0,-1000.0,-605.46875,240.234375,0.0,0
1713993501.7157197,1,HELLO,-365.72265625,-547.8515625,-697.75390625,-1000.0,0.0,0
1713993501.719583,1,HELLO,999.51171875,999.51171875,-386.23046875,-766.11328125,0.0,0
1713993501.7234466,1,HELLO,243.1640625,319.82421875,-281.73828125,869.62890625,0.0,0
1713993501.72731,1,HELLO,-1000.0,-1000.0,-538.57421875,523.4375,0.0,0
1713993501.7311733,1,HELLO,-894.53125,-1000.0,-752.44140625,-991.2109375,0.0,0
1713993501.7356734,1,HELLO,708.49609375,434.5703125,-488.28125,-1000.0,0.0,0
1713993501.7395372,1,HELLO,671.38671875,814.453125,-271.97265625,134.27734375,0.0,0
1713993501.7434008,1,HELLO,-910.15625,-749.0234375,-533.69140625,999.51171875,0.0,0
1713993501.7472646,1,HELLO,-1000.0,-1000.0,-723.14453125,-322.75390625,0.0,0
1713993501.7511284,1,HELLO,24.90234375,-134.27734375,-610.3515625,-1000.0,0.0,0
1713993501.7549922,1,HELLO,999.51171875,999.51171875,-188.4765625,-166.015625,0.0,0
1713993501.7588558,1,HELLO,-200.68359375,-60.05859375,-353.515625,999.51171875,0.0,0
1713993501.7627196,1,HELLO,-1000.0,-1000.0,-693.359375,203.125,0.0,0
1713993501.7665834,1,HELLO,-217.7734375,-254.8828125,-664.0625,-1000.0,0.0,0
1713993501.7704473,1,HELLO,999.51171875,999.51171875,-162.109375,-291.015625,0.0,0
1713993501.7743108,1,HELLO,245.60546875,247.0703125,-303.7109375,999.51171875,0.0,0
1713993501.7781746,1,HELLO,-1000.0,-1000.0,-723.6328125,300.29296875,0.0,0
1713993501.7826118,1,HELLO,-524.90234375,-682.6171875,-688.96484375,-1000.0,0.0,0
1713993501.786476,1,HELLO,999.51171875,966.30859375,-357.421875,-684.5703125,0.0,0
1713993501.7903402,1,HELLO,343.26171875,456.0546875,-380.37109375,911.1328125,0.0,0
1713993501.7942042,1,HELLO,-1000.0,-1000.0,-650.390625,818.84765625,0.0,0
1713993501.7980683,1,HELLO,-966.796875,-1000.0,-699.70703125,-736.328125,0.0,0
1713993501.8019323,1,HELLO,578.61328125,330.078125,-436.03515625,-1000.0,0.0,0
1713993501.8057964,1,HELLO,816.89453125,952.63671875,-233.3984375,214.35546875,0.0,0
1713993501.8096604,1,HELLO,-748.046875,-542.96875,-536.62109375,999.51171875,0.0,0
1713993501.8135245,1,HELLO,-1000.0,-1000.0,-668.9453125,-14.16015625,0.0,0
1713993501.8173888,1,HELLO,-88.37890625,-193.359375,-516.6015625,-1000.0,0.0,0
1713993501.8212528,1,HELLO,999.51171875,999.51171875,-356.93359375,-222.65625,0.0,0
1713993501.8251169,1,HELLO,-63.96484375,83.0078125,-504.8828125,999.51171875,0.0,0
1713993501.829523,1,HELLO,-1000.0,-1000.0,-668.9453125,232.91015625,0.0,0
1713993501.8333874,1,HELLO,-228.515625,-345.703125,-672.8515625,-1000.0,0.0,0
1713993501.8372517,1,HELLO,999.51171875,999.51171875,-349.12109375,-317.3828125,0.0,0
1713993501.8411162,1,HELLO,227.05078125,245.1171875,-383.30078125,999.51171875,0.0,0
1713993501.8449805,1,HELLO,-1000.0,-1000.0,-616.69921875,515.625,0.0,0
1713993501.848845,1,HELLO,-557.12890625,-813.4765625,-687.5,-1000.0,0.0,0
1713993501.8527093,1,HELLO,999.51171875,796.38671875,-343.75,-744.140625,0.0,0
1713993501.8565738,1,HELLO,458.49609375,584.9609375,-234.375,827.63671875,0.0,0
1713993501.860438,1,HELLO,-1000.0,-955.078125,-540.0390625,999.51171875,0.0,0
1713993501.8643026,1,HELLO,-1000.0,-1000.0,-708.0078125,-410.15625,0.0,0
1713993501.868167,1,HELLO,280.2734375,74.70703125,-584.9609375,-1000.0,0.0,0
1713993501.8720315,1,HELLO,966.30859375,999.51171875,-286.62109375,81.0546875,0.0,0
1713993501.8766766,1,HELLO,-557.6171875,-326.66015625,-472.16796875,999.51171875,0.0,0
1713993501.8805413,1,HELLO,-1000.0,-1000.0,-725.5859375,145.5078125,0.0,0
1713993501.8844063,1,HELLO,-203.125,-211.42578125,-675.29296875,-1000.0,0.0,0
1713993501.888271,1,HELLO,999.51171875,999.51171875,-251.46484375,-257.8125,0.0,0
1713993501.8921359,1,HELLO,100.5859375,198.73046875,-342.7734375,999.51171875,0.0,0
1713993501.8960009,1,HELLO,-1000.0,-1000.0,-653.3203125,241.69921875,0.0,0
